NHOGAR;HY050N;HY110N;HS040;HS060;HS080;HS090;HS120;HH021;HX040;vhRentaa;vhPobreza;DB040;edad mayor;horas trabajo semanal hogar;MAYORES 16;SEXO mayor;ACT mayor
18261;0;0;2;2;1;1;3;2;3;21085,3;0;ES52;41;24;1;0;2
18301;0;0;1;1;1;1;5;2;2;34748,1;0;ES41;41;40;1;0;1
18324;0;0;1;1;1;1;4;1;3;55043,7;0;ES41;57;0;3;0;10
18340;0;0;2;2;1;2;2;5;2;7408,6;1;ES21;38;0;1;1;5
18357;0;0;2;2;1;1;3;2;2;16143,2;0;ES21;45;0;2;0;5
18436;0;0;2;2;1;1;2;2;3;11600,4;1;ES21;47;0;1;0;3
18455;0;705;2;1;1;1;1;3;2;13953;0;ES21;51;0;1;0;5
18499;0;0;2;1;1;1;3;1;2;2478,4;1;ES21;49;35;2;0;2
18520;0;0;2;2;1;1;3;3;2;2303,9;1;ES21;28;0;1;0;5
18532;0;0;1;1;1;1;4;1;2;11452,1;1;ES21;58;0;2;0;8
18596;0;0;2;2;1;2;1;3;2;8272,6;1;ES41;47;0;2;1;5
18721;0;0;1;1;1;1;5;2;3;51762,7;0;ES24;41;37;1;0;1
18797;0;0;1;1;1;1;4;2;2;24545,8;0;ES24;49;40;1;1;1
18805;0;0;1;1;1;1;4;1;3;24434,2;0;ES24;48;0;1;1;8
18890;0;0;2;2;1;2;2;3;2;8397;1;ES63;51;0;2;0;5
18924;0;4560;2;2;1;2;1;3;5;19278,8;1;ES64;43;0;3;0;5
